Title,Release Year,Genre,IMDB Rating,Duration,Age Rating,Production Country,Available on,Just Watch URL,Type
Lucky Baskhar(2024),2024,"Mystery & Thriller, Crime, Drama",8.2,2h 50min,UA,India,"['Bookmyshow', 'Netflix']",https://www.justwatch.com/in/movie/lucky-baskhar,Movie
Deadpool & Wolverine(2024),2024,"Science-Fiction, Comedy, Action & Adventure",7.7,2h 8min,A,United States,"['Apple TV', 'Amazon Video', 'Hotstar']",https://www.justwatch.com/in/movie/deadpool-3,Movie
Kishkindha Kaandam(2024),2024,"Mystery & Thriller, Drama",8.1,2h 13min,UA,India,['Hotstar'],https://www.justwatch.com/in/movie/kishkkindha-kandam,Movie
The Substance(2024),2024,"Science-Fiction, Drama, Horror",7.4,2h 20min,No Rating,"France, United Kingdom","['MUBI Amazon Channel', 'MUBI', 'Amazon Video']",https://www.justwatch.com/in/movie/the-substance,Movie
Amaran(2024),2024,"Action & Adventure, Drama, War & Military",8.4,2h 47min,No Rating,India,"['Bookmyshow', 'Netflix']",https://www.justwatch.com/in/movie/amaran-2024,Movie
Vettaiyan(2024),2024,"Action & Adventure, Crime, Drama",7.1,2h 43min,UA,India,"['Amazon Video', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/vettaiyan,Movie
All We Imagine as Light(2024),2024,"Drama, Romance",7.4,1h 58min,A,"Netherlands, France, India, Italy, Luxembourg",['Bookmyshow'],https://www.justwatch.com/in/movie/all-we-imagine-as-light,Movie
The Wild Robot(2024),2024,"Animation, Science-Fiction, Action & Adventure",8.3,1h 42min,No Rating,"United States, Japan","['Bookmyshow', 'Apple TV', 'Amazon Video', 'Zee5']",https://www.justwatch.com/in/movie/the-wild-robot,Movie
Alien: Romulus(2024),2024,"Horror, Science-Fiction, Mystery & Thriller",7.1,1h 59min,A,"Canada, United Kingdom, United States, Hungary, Australia, New Zealand","['Apple TV', 'Amazon Video', 'Hotstar']",https://www.justwatch.com/in/movie/alien-romulus,Movie
A.R.M(2024),2024,"Action & Adventure, Drama, Comedy",7.2,2h 27min,UA,India,['Hotstar'],https://www.justwatch.com/in/movie/ajayante-randam-moshanam,Movie
Meiyazhagan(2024),2024,"Drama, Kids & Family",8.4,2h 57min,U,India,['Netflix'],https://www.justwatch.com/in/movie/meiyazhagan,Movie
Black(2024),2024,"Mystery & Thriller, Horror, Science-Fiction",7.2,2h 30min,UA,India,"['Amazon Video', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/black-2024,Movie
Lubber Pandhu(2024),2024,"Comedy, Drama, Sport, Kids & Family, Romance",8.2,2h 26min,U,India,['Hotstar'],https://www.justwatch.com/in/movie/lubber-pandhu,Movie
Kill(2024),2024,"Action & Adventure, Crime, Drama, Mystery & Thriller",7.6,1h 45min,A,India,['Hotstar'],https://www.justwatch.com/in/movie/kill-2024,Movie
Kalki 2898 AD(2024),2024,"Drama, Fantasy, Science-Fiction, Mystery & Thriller, Action & Adventure",7.1,3h 0min,UA,India,"['Amazon Video', 'Netflix', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/kalki-2898-ad,Movie
