Title,Release Year,Genre,IMDB Rating,Duration,Age Rating,Production Country,Available on,Just Watch URL
Lucky Baskhar(2024),2024,"Mystery & Thriller, Crime, Drama",8.2,2h 50min,UA,India,"['Bookmyshow', 'Netflix']",https://www.justwatch.com/in/movie/lucky-baskhar
Bhool Bhulaiyaa 3(2024),2024,"Comedy, Horror",5.1,2h 38min,UA,India,['Bookmyshow'],https://www.justwatch.com/in/movie/bhool-bhulaiyaa-3
Devara Part 1(2024),2024,"Mystery & Thriller, Action & Adventure, Drama",6.1,2h 56min,UA,India,"['Bookmyshow', 'Netflix']",https://www.justwatch.com/in/movie/ntr-30
Deadpool & Wolverine(2024),2024,"Science-Fiction, Comedy, Action & Adventure",7.7,2h 8min,A,United States,"['Apple TV', 'Amazon Video', 'Hotstar']",https://www.justwatch.com/in/movie/deadpool-3
Stree 2: Sarkate Ka Aatank(2024),2024,"Comedy, Horror",7.0,2h 27min,UA,India,"['Amazon Video', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/stree-2
Kishkindha Kaandam(2024),2024,"Mystery & Thriller, Drama",8.1,2h 13min,UA,India,['Hotstar'],https://www.justwatch.com/in/movie/kishkkindha-kandam
Pushpa 2 - The Rule(2024),2024,"Action & Adventure, Mystery & Thriller, Crime, Drama",6.8,3h 18min,No Rating,India,['Bookmyshow'],https://www.justwatch.com/in/movie/pushpa-the-rule-part-2
The Substance(2024),2024,"Science-Fiction, Drama, Horror",7.4,2h 20min,No Rating,"France, United Kingdom","['MUBI Amazon Channel', 'MUBI', 'Amazon Video']",https://www.justwatch.com/in/movie/the-substance
Amaran(2024),2024,"Action & Adventure, Drama, War & Military",8.4,2h 47min,No Rating,India,"['Bookmyshow', 'Netflix']",https://www.justwatch.com/in/movie/amaran-2024
Vettaiyan(2024),2024,"Action & Adventure, Crime, Drama",7.1,2h 43min,UA,India,"['Amazon Video', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/vettaiyan
Venom: The Last Dance(2024),2024,"Action & Adventure, Science-Fiction, Mystery & Thriller",6.2,1h 49min,No Rating,United States,"['Bookmyshow', 'Amazon Video']",https://www.justwatch.com/in/movie/venom-3-2024
All We Imagine as Light(2024),2024,"Drama, Romance",7.4,1h 58min,A,"Netherlands, France, India, Italy, Luxembourg",['Bookmyshow'],https://www.justwatch.com/in/movie/all-we-imagine-as-light
Bagheera(2024),2024,Action & Adventure,6.9,2h 38min,UA,India,['Netflix'],https://www.justwatch.com/in/movie/bagheera-2024
Pushpa: The Rise(2021),2021,"Mystery & Thriller, Crime, Drama, Action & Adventure",7.6,2h 59min,UA,India,"['Bookmyshow', 'Amazon Video', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/pushpa
Gladiator(2000),2000,"Drama, Action & Adventure",8.5,2h 35min,No Rating,"United States, United Kingdom","['Hungama Play', 'Amazon Video', 'Amazon Prime Video', 'Apple TV', 'Zee5']",https://www.justwatch.com/in/movie/gladiator
Martin(2024),2024,"Mystery & Thriller, Action & Adventure, Drama",2.4,2h 27min,UA,India,"['aha', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/martin
Kanguva(2024),2024,"Mystery & Thriller, Action & Adventure, Drama, Fantasy",5.1,2h 34min,UA,India,"['Bookmyshow', 'Amazon Video', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/kanguva
Singham Again(2024),2024,"Drama, Action & Adventure",5.9,2h 30min,UA,India,['Bookmyshow'],https://www.justwatch.com/in/movie/singham-again-2024-0
The Wild Robot(2024),2024,"Animation, Science-Fiction, Action & Adventure",8.3,1h 42min,No Rating,"United States, Japan","['Bookmyshow', 'Apple TV', 'Amazon Video', 'Zee5']",https://www.justwatch.com/in/movie/the-wild-robot
Alien: Romulus(2024),2024,"Horror, Science-Fiction, Mystery & Thriller",7.1,1h 59min,A,"Canada, United Kingdom, United States, Hungary, Australia, New Zealand","['Apple TV', 'Amazon Video', 'Hotstar']",https://www.justwatch.com/in/movie/alien-romulus
A.R.M(2024),2024,"Action & Adventure, Drama, Comedy",7.2,2h 27min,UA,India,['Hotstar'],https://www.justwatch.com/in/movie/ajayante-randam-moshanam
Meiyazhagan(2024),2024,"Drama, Kids & Family",8.4,2h 57min,U,India,['Netflix'],https://www.justwatch.com/in/movie/meiyazhagan
Vicky Vidya Ka Woh Wala Video(2024),2024,Comedy,5.6,2h 32min,UA,India,"['Bookmyshow', 'Netflix']",https://www.justwatch.com/in/movie/vicky-vidya-ka-woh-wala-video
Black(2024),2024,"Mystery & Thriller, Horror, Science-Fiction",7.2,2h 30min,UA,India,"['Amazon Video', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/black-2024
The Buckingham Murders(2024),2024,"Crime, Drama, Mystery & Thriller",6.0,1h 47min,A,"United Kingdom, India",['Netflix'],https://www.justwatch.com/in/movie/the-buckingham-murders
The Sabarmati Report(2024),2024,"Drama, Mystery & Thriller",6.8,2h 7min,UA,India,['Bookmyshow'],https://www.justwatch.com/in/movie/the-sabarmati-report
Siddharth Roy(2024),2024,"Drama, Romance",6.6,2h 28min,A,India,['aha'],https://www.justwatch.com/in/movie/siddharth-roy
Lubber Pandhu(2024),2024,"Comedy, Drama, Sport, Kids & Family, Romance",8.2,2h 26min,U,India,['Hotstar'],https://www.justwatch.com/in/movie/lubber-pandhu
Do Patti(2024),2024,"Mystery & Thriller, Drama, Crime",6.5,2h 7min,No Rating,India,['Netflix'],https://www.justwatch.com/in/movie/do-patti
Tumbbad(2018),2018,"Horror, Drama, Fantasy, Mystery & Thriller, Made in Europe",8.2,1h 44min,A,"India, Sweden",['Bookmyshow'],https://www.justwatch.com/in/movie/tumbbad
A Quiet Place: Day One(2024),2024,"Drama, Horror, Science-Fiction, Mystery & Thriller",6.3,1h 39min,No Rating,"United Kingdom, Canada, United States","['Apple TV', 'Amazon Video', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/a-quiet-place-day-one
Smile 2(2024),2024,"Horror, Mystery & Thriller",6.9,2h 7min,No Rating,United States,"['Bookmyshow', 'Apple TV', 'Amazon Video']",https://www.justwatch.com/in/movie/smile-2
Sikandar Ka Muqaddar(2024),2024,"Action & Adventure, Mystery & Thriller, Crime, Drama",6.1,2h 22min,No Rating,India,['Netflix'],https://www.justwatch.com/in/movie/sikandar-ka-muqaddar
Bhool Bhulaiyaa 2(2022),2022,"Horror, Comedy",5.7,2h 23min,UA,India,['Netflix'],https://www.justwatch.com/in/movie/bhool-bhulaiyaa-2
