Title,Release Year,Genre,IMDB Rating,Duration,Age Rating,Production Country,Available on,Just Watch URL
From(2022),2022,"Horror, Science-Fiction, Mystery & Thriller, Drama",7.8,51min,No Rating,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/from
The Day of the Jackal(2024),2024,"Crime, Drama, Mystery & Thriller, Action & Adventure",8.2,50min,No Rating,United Kingdom,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-day-of-the-jackal
Thukra ke mera pyaar(2024),2024,Romance,7.1,23min,No Rating,India,['Hotstar'],https://www.justwatch.com/in/tv-show/thukra-ke-mera-pyaar
The Penguin(2024),2024,"Crime, Drama, Fantasy",8.7,58min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-penguin
Citadel: Honey Bunny(2024),2024,"Action & Adventure, Drama, Science-Fiction, Mystery & Thriller",6.2,50min,No Rating,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/citadel-honey-bunny
Dune: Prophecy(2024),2024,"Drama, Action & Adventure, Science-Fiction",7.4,59min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/dune-the-sisterhood
Mirzapur(2018),2018,"Action & Adventure, Drama, Mystery & Thriller, Crime",8.4,50min,A,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/mirzapur
Arcane(2021),2021,"Science-Fiction, Animation, Action & Adventure, Drama, Fantasy",9.0,41min,No Rating,"United States, France",['Netflix'],https://www.justwatch.com/in/tv-show/arcane
The Pradeeps of Pittsburgh(2024),2024,"Comedy, Drama",6.1,28min,No Rating,"Canada, United States",['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/the-pradeeps-of-pittsburgh
Taaza Khabar(2023),2023,"Drama, Science-Fiction, Comedy, Fantasy, Mystery & Thriller, Action & Adventure",8.1,32min,No Rating,India,['Hotstar'],https://www.justwatch.com/in/tv-show/taaza-khabar
Yeh Kaali Kaali Ankhein(2022),2022,"Comedy, Crime, Mystery & Thriller, Drama",7.0,41min,No Rating,India,['Netflix'],https://www.justwatch.com/in/tv-show/these-black-black-eyes
Don't Come Home(2024),2024,"Science-Fiction, Mystery & Thriller, Drama, Horror",7.2,45min,No Rating,Thailand,['Netflix'],https://www.justwatch.com/in/tv-show/dont-come-home
